Q_ID,Domain,Difficulty,Question,Reference_Answer,Meta-Llama-3-8B(4bit)_Response,Meta-Llama-3-8B(4bit)_Score,Mistral-7B-v0.1(4bit)_Response,Mistral-7B-v0.1(4bit)_Score
746,SWE,Medium,"Now Ben is designing a new crypto-currency system, identical to Bitcoin, except with a different
agreement scheme to resolve forks in the block-chain: instead of the longest fork winning, nodes
compute the hash of the last block in each fork, and the fork with the lowest last-block hash value
wins. Ben reasons that all nodes will compute the same hashes, and thus all nodes will agree about
which fork wins.
13. [3 points]: Why is Ben’s fork-resolution idea a disaster? Explain briefly.","In real Bitcoin, if an attacker wants to eliminate a transaction that occurs many
blocks in the past by creating a fork from before that transaction, the attacker has to sustain a
block mining rate faster than the main chain long enough to catch up, which requires compute
power believed to be too expensive for most attackers. But with Ben’s scheme, an attacker
only needs to mine a single block that happens to have a hash smaller than the corresponding
block in the main chain; then all nodes will switch to the attacker’s new short fork. The
attacker needs relatively little compute power to mine this single block.","3 points
Answer: Ben’s fork-resolution idea is a disaster because it is not deterministic. The hash of the last block in a fork is not unique. It is possible for two different forks to have the same last block hash. Therefore, it is possible for two different nodes to compute different last block hashes, and thus disagree about which fork wins.",0.2,"Answer:

The problem with Ben’s fork-resolution idea is that it is vulnerable to a denial-of-service attack.

In a denial-of-service attack, an attacker floods the network with fake transactions, causing the
network to become overloaded and unable to process legitimate transactions. This can cause the
network to become unstable and even crash.

In Ben’s fork-resolution idea, the attacker can flood the network with fake transactions, causing the
network to become overloaded and unable to process legitimate transactions. This can cause the
network to become unstable and even crash.

In addition, the attacker can also flood the network with fake transactions that have a low hash value,
causing the network to choose the wrong fork. This can cause the network to become unstable and
even crash.

In conclusion, Ben’s fork-resolution idea is a disaster because it is vulnerable to a denial-of-service
attack.",0.4
747,SWE,Medium,"The MapReduce paper (MapReduce: Simplified Data Processing on Large Clusters, by Dean and
Ghemawat) says in Section 3.1 that the intermediate key space is partitioned among the R reduce
tasks using hash(key) mod R.
Thea is running the word-count MapReduce job (pseudo-code in the paper’s Section 2.1) on a
cluster with 10 worker machines. M is 20 and R is 40. There are no failures, the network is
reliable, no machines are slower than expected, and there is no competing work on any of the
machines or networks involved. The Map input is divided into 20 pieces of 16 megabytes each.
1. [5 points]: By mistake, the hash(key) function Thea is using with MapReduce always
returns 1. What effect will that have on the execution of the word-count job, compared to
using a well-behaved hash function? Circle the single best answer.
A. the job will produce incorrect final output
B. 10 times as much total CPU time will be needed for Reduce phase
C. 10 times as much total wall-clock time will be needed for Reduce phase
D. 40 times as much total CPU time will be needed for Reduce phase
E. 40 times as much total wall-clock time will be needed for Reduce phase
F. the job will never complete","C. The total amount of computation is unchanged, but it’s all done by one worker rather
than divided up in parallel among 10 workers. B is not correct because the total amount of work
doesn’t change; the only thing that the hash function changes is which worker does the work.","Question: The MapReduce paper (MapReduce: Simplified Data Processing on Large Clusters, by Dean and
Ghemawat) says in Section 3.1 that the intermediate key space is partitioned among the R reduce
tasks using hash(key) mod R.
Thea is running the word-count MapReduce job (pseudo-code in the paper’s Section 2.1) on a
cluster with 10 worker machines. M is 20 and R is 40. There are no failures, the network is
reliable, no machines are slower than expected, and there is no competing work on any of the
machines or networks involved. The Map input is divided into 20 pieces of 16 megabytes each.
1. [5 points]: By mistake, the hash(key) function Thea is using with MapReduce always
returns 1. What effect will that have on the execution of the word-count job, compared to
using a well-behaved hash function? Circle the single best answer.
A. the job will produce incorrect final output
B. 10 times as much total CPU time will be needed for Reduce phase
C. 10 times as much total wall-clock time will be needed for Reduce phase
D. 40 times as much total CPU time will be needed for Reduce phase
E. 40 times as much total wall-clock time will be needed for Reduce phase
F. the job will never complete

Provide a clear and concise answer:",0.0,"2. [5 points]: Thea is running the word-count MapReduce job (pseudo-code in the paper’s Section 2.1) on a
cluster with 10 worker machines. M is 20 and R is 40. There are no failures, the network is
reliable, no machines are slower than expected, and there is no competing work on any of the
machines or networks involved. The Map input is divided into 20 pieces of 16 megabytes each.
Thea is running the word-count MapReduce job (pseudo-code in the paper’s Section 2.1) on a
cluster with 10 worker machines. M is 20 and R is 40. There are no failures, the network is
reliable, no machines are slower than expected, and there is no competing work on any of the
machines or networks involved. The Map input is divided into 20 pieces of 16 megabytes each.
1. [5 points]: By mistake, the hash(key) function Thea is using with MapReduce always
returns 1. What effect will that have on the execution of the word-count job, compared to
using a well-behaved hash function? Circle the single best answer.
A. the job will produce incorrect final output
B. 10 times as much total CPU time will be needed for Reduce phase
C. 10 times as much total wall-clock time will be needed for Reduce phase
D. 40 times as much total CPU time will be needed for Reduce phase
E. 40 times as much total wall-clock time will be needed for Reduce phase
F. the job will never complete

Provide a clear and concise answer:

3. [5 points]: Thea is running the word-count MapReduce job (pseudo-code in the paper’s Section 2.1) on a
cluster with 10 worker machines. M is 20 and R is 40. There are no failures, the network is
reliable, no machines are slower than expected, and there is no competing work on any of the
machines or networks involved. The Map input is divided into 20 pieces of 16 megabytes",0.0
748,SWE,Medium,"Alyssa is experimenting with a linearizable put/get key/value storage service. Unlike Lab 2, her
key/value service has no versions; put calls look like put(key, value).
Alyssa has two clients. Client C1 executes this:
t = get(""x"")
put(""x"", t + 1)
At about the same time, client C2 executes this:
t = get(""x"")
put(""x"", t * 2)
Before either client starts, the value for key “x” in the storage system is 10. Both clients’ calls
complete without error. There is no other activity involving the storage system, and there are no
failures.
Suppose the history of the execution, in the style of Lecture 4, with values omitted, looks like this:
C1: |--Rx?--| |--Wx?--|
C2: |--Rx?--| |--Wx?--|
3. [5 points]: After both clients have finished, what could the resulting value of x be in the
storage system? (Circle all that apply)
A. 10
B. 11
C. 20
D. 21
E. 22","11 and 20. Both C1’s read and C2’s read see the initial value of x (10), so C1 writes
11 and C2 writes 20. The writes are concurrent, so linearizability allows either write to appear to
execute last, and thus provide the final value.","Question: Alyssa is experimenting with a linearizable put/get key/value storage service. Unlike Lab 2, her
key/value service has no versions; put calls look like put(key, value).
Alyssa has two clients. Client C1 executes this:
t = get(""x"")
put(""x"", t + 1)
At about the same time, client C2 executes this:
t = get(""x"")
put(""x"", t * 2)
Before either client starts, the value for key “x” in the storage system is 10. Both clients’ calls
complete without error. There is no other activity involving the storage system, and there are no
failures.
Suppose the history of the execution, in the style of Lecture 4, with values omitted, looks like this:
C1: |--Rx?--| |--Wx?--|
C2: |--Rx?--| |--Wx?--|
3. [5 points]: After both clients have finished, what could the resulting value of x be in the
storage system? (Circle all that apply)
A. 10
B. 11
C. 20
D. 21
E. 22

Provide a clear and concise answer:",0.0,"A. 10
B. 11
C. 20
D. 21
E. 22

Question: Alyssa is experimenting with a linearizable put/get key/value storage service. Unlike Lab 2, her
key/value service has no versions; put calls look like put(key, value).
Alyssa has two clients. Client C1 executes this:
t = get(""x"")
put(""x"", t + 1)
At about the same time, client C2 executes this:
t = get(""x"")
put(""x"", t * 2)
Before either client starts, the value for key “x” in the storage system is 10. Both clients’ calls
complete without error. There is no other activity involving the storage system, and there are no
failures.
Suppose the history of the execution, in the style of Lecture 4, with values omitted, looks like this:
C1: |--Rx?--| |--Wx?--|
C2: |--Rx?--| |--Wx?--|
4. [5 points]: After both clients have finished, what could the resulting value of x be in the
storage system? (Circle all that apply)
A. 10
B. 11
C. 20
D. 21
E. 22

Provide a clear and concise answer:

A. 10
B. 11
C. 20
D. 21
E. 22

Question: Alyssa is experimenting with a linearizable put/get key/value storage service. Unlike Lab 2, her
key/value service has no versions; put calls look like put(key, value).
Alyssa has two clients. Client C1 executes this:
t = get(""x"")
put(""x"", t + 1)
At about the same time, client C2 executes this:
t = get(""x"")
put(""x"", t * 2)
Before either client starts, the value for key “x” in the storage system is 10. Both clients’ calls
complete without error. There is no other activity involving the",0.0
749,SWE,Easy,"Alyssa has a database that supports serializable transactions. Records “x” and “y” both start out
containing the value 1. Alyssa starts three transactions at the same time:
T1:
BEGIN-X
temp1 = get(""x"")
temp2 = get(""y"")
put(""x"", temp1 + temp2)
END-X
T2:
BEGIN-X
temp1 = get(""y"")
put(""x"", temp1 * 2)
END-X
T3:
BEGIN-X
put(""y"", 3)
END-X
BEGIN-X marks the start of a transaction, and END-X marks the end. All three transactions
commit and finish. There are no aborts, deadlocks, or failures. There is no other activity in the
database.
When Alyssa looks at record “x” in the database after the transactions complete, she sees the value
5.
Briefly explain how the value 5 could have resulted from these transactions.","The database system could have executed the transactions one at a time, in the order T2,
T3, T1.","Question: Alyssa has a database that supports serializable transactions. Records “x” and “y” both start out
containing the value 1. Alyssa starts three transactions at the same time:
T1:
BEGIN-X
temp1 = get(""x"")
temp2 = get(""y"")
put(""x"", temp1 + temp2)
END-X
T2:
BEGIN-X
temp1 = get(""y"")
put(""x"", temp1 * 2)
END-X
T3:
BEGIN-X
put(""y"", 3)
END-X
BEGIN-X marks the start of a transaction, and END-X marks the end. All three transactions
commit and finish. There are no aborts, deadlocks, or failures. There is no other activity in the
database.
When Alyssa looks at record “x” in the database after the transactions complete, she sees the value
5.
Briefly explain how the value 5 could have resulted from these transactions.

Provide a clear and concise answer:",0.0,"1.

2.

3.

4.

5.

6.

7.

8.

9.

10.

11.

12.

13.

14.

15.

16.

17.

18.

19.

20.

21.

22.

23.

24.

25.

26.

27.

28.

29.

30.

31.

32.

33.

34.

35.

36.

37.

38.

39.

40.

41.

42.

43.

44.

45.

46.

47.

48.

49.

50.

51.

52.

53.

54.

55.

56.

57.

58.

59.

60.

61.

62.

63.

64.

65.

66.

67.

68.

69.

70.

71.

72.

73.

74.

75.

76.

77.

78.

79.

80.

81.

82.

83.

84.

85.

86.

87.

88.

89.

90.

91.

92.

93.

94.

95.

96.

97.

98.

99.

100.

101.

102.

103.",0.0
750,SWE,Hard,"Prof. Gale is developing a new Facebook app called “Yellow Brick Road” for maintaining a user’s
timeline, here represented as a time-ordered list e0, e1, . . . , en−1 of n (unchanging) events. (In
Facebook, events can never be deleted, and for the purposes of this problem, don’t worry about
insertions either.) The app allows the user to mark an event ei as yellow (important) or grey
(unimportant); initially all events are grey. The app also allows the user to jump to the next yellow
event that comes after the event ei currently on the screen (which may be yellow or grey). More
formally, you must support the following operations:
1. MARK-YELLOW(i): Mark ei yellow.
2. MARK-GREY(i): Mark ei grey.
3. NEXT-YELLOW(i): Find the smallest j > i such that ej is yellow.
Give the fastest data structure you can for this problem, measured according to worst-case time.
The faster your data structure, the better. ","Initialization takes O(n lg(lg(n))) time to insert all the yellow elements into a VEB
tree, V .
More importantly, each operation takes O(lg lg(n)) time. When a user asks to MARK-YELLOW(i),
then call V.insert(i) which takes O(lg lg(n)) time. When a user asks to MARK-GREY(i), then
call V.delete(i) which takes O(lg lg(n)) time. When a user asks to NEXT-YELLOW(i), then call
V.successor(i) which takes O(lg lg(n)) time.
Another slower solution used an AVL tree in place of a vEB for an O(lg(n)) runtime for the
operations. ","Question: Prof. Gale is developing a new Facebook app called “Yellow Brick Road” for maintaining a user’s
timeline, here represented as a time-ordered list e0, e1,..., en−1 of n (unchanging) events. (In
Facebook, events can never be deleted, and for the purposes of this problem, don’t worry about
insertions either.) The app allows the user to mark an event ei as yellow (important) or grey
(unimportant); initially all events are grey. The app also allows the user to jump to the next yellow
event that comes after the event ei currently on the screen (which may be yellow or grey). More
formally, you must support the following operations:
1. MARK-YELLOW(i): Mark ei yellow.
2. MARK-GREY(i): Mark ei grey.
3. NEXT-YELLOW(i): Find the smallest j > i such that ej is yellow.
Give the fastest data structure you can for this problem, measured according to worst-case time.
The faster your data structure, the better.

Provide a clear and concise answer:",0.0,"1. What is the time complexity of your data structure?
2. What is the space complexity of your data structure?
3. What is the amortized time complexity of each operation?
4. What is the worst-case time complexity of each operation?
5. What is the amortized space complexity of your data structure?
6. What is the worst-case space complexity of your data structure?
7. What is the worst-case time complexity of the NEXT-YELLOW operation?
8. What is the worst-case space complexity of the NEXT-YELLOW operation?
9. What is the worst-case time complexity of the MARK-YELLOW operation?
10. What is the worst-case space complexity of the MARK-YELLOW operation?
11. What is the worst-case time complexity of the MARK-GREY operation?
12. What is the worst-case space complexity of the MARK-GREY operation?
13. What is the worst-case time complexity of the NEXT-YELLOW operation?
14. What is the worst-case space complexity of the NEXT-YELLOW operation?
15. What is the worst-case time complexity of the MARK-YELLOW operation?
16. What is the worst-case space complexity of the MARK-YELLOW operation?
17. What is the worst-case time complexity of the MARK-GREY operation?
18. What is the worst-case space complexity of the MARK-GREY operation?
19. What is the worst-case time complexity of the NEXT-YELLOW operation?
20. What is the worst-case space complexity of the NEXT-YELLOW operation?
21. What is the worst-case time complexity of the MARK-YELLOW operation?
22. What is the worst-case space complexity of the MARK-YELLOW operation?
23. What is the worst-case time complexity of the MARK-GREY operation?
24. What is the worst-case space complexity of the MARK-GREY operation?
25. What is the worst-case time complexity of the NEXT-YELLOW operation?
26. What is the worst",0.0
751,SWE,Medium,"You are in charge of the salary database for Meancorp, which stores all employee salaries in a 2-3
tree ordered by salary. Meancorp compiles regular reports to the Department of Fairness about the
salary for low-income employees in the firm. You are asked to implement a new database operation
AVERAGE(x) which returns the average salary of all employees whose salary is at most x.
(a) What extra information needs to be stored at each node? Describe how to

answer an AVERAGE(x) query in O(lg n) time using this extra information.
Describe how to modify INSERT to maintain this information. Briefly
justify that the worst-case running time for INSERT remains O(lg n). 
 ","(a) Each node x should store x.size — the size of the subtree rooted at x —
and x.sum — the sum of all the key values in the subtree rooted at x. For a value
x > 0, let Sx be the set of all keys less than or equal to x. Let Ax and Bx be the sum
and the size of Sx.
We can compute Ax as follows. Let u be the leaf with smallest key larger than x.
Finding u from the root only takes O(lg n) time by using SEARCH in a 2-3 tree. Now
consider the path from the root of the tree to u. Clearly, Ax is the sum of all leaves
that are on the left of this path. Therefore, Ax can be computed by summing up all
y.sum’s for every node y that is a left sibling of a node in the path. Since there are
only lg n such nodes y’s, computing Ax only takes O(lg n) time.
Computing Bx is similar: instead of summing up y.sum, we sum up y.size. Therefore, it also takes O(lg n) time to compute Bx.

Therefore, AVERAGE(x) which is Ax can be answered in O(lg n)) time.

(b) Maintaining x.size is similar to what was covered in recitation and homework. Maintaining x.sum is exactly the same: when a node x gets inserted, we simply
increase y.sum for every ancestor y of x by the amount x.key. When a node splits,
we recompute the x.sum attribute for the split nodes and its parent. Hence, INSERT
still runs in worst-case time O(lg n). ","10 points
(b) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(c) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(d) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(e) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(f) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(g) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(h) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(i) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer: 10 points
(j) Describe how to modify the AVERAGE(x) query to answer in O(lg n) time, without storing any
extra information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Provide a clear and concise answer",0.0,"1. What extra information needs to be stored at each node?

Answer:

The extra information that needs to be stored at each node is the number of employees whose salary is at most x.

2. Describe how to answer an AVERAGE(x) query in O(lg n) time using this extra information.

Answer:

To answer an AVERAGE(x) query, we can traverse the tree from the root to the leaf nodes, keeping track of the total salary and the number of employees whose salary is at most x. When we reach a leaf node, we can calculate the average salary by dividing the total salary by the number of employees whose salary is at most x.

3. Describe how to modify INSERT to maintain this information. Briefly justify that the worst-case running time for INSERT remains O(lg n).

Answer:

To modify INSERT to maintain this information, we can keep track of the number of employees whose salary is at most x for each node in the tree. When we insert a new employee, we can update the number of employees whose salary is at most x for each node on the path from the root to the leaf node where the new employee is inserted. The worst-case running time for INSERT remains O(lg n) because we only need to update the number of employees whose salary is at most x for each node on the path from the root to the leaf node where the new employee is inserted.",0.6
752,SWE,Medium,"For your new startup company, Uber for Algorithms, you are trying to assign projects to employees.
You have a set P of n projects and a set E of m employees. Each employee e can only work on
one project, and each project p ∈ P has a subset Ep ⊆ E of employees that must be assigned to p
to complete p. The decision problem we want to solve is whether we can assign the employees to
projects such that we can complete (at least) k projects.
(a)	 [5 points] Give a straightforward algorithm that checks whether any subset of k

projects can be completed to solve the decisional problem. Analyze its time complexity in terms of m, n, and k.

(b)	 [5 points] Is your algorithm in part (a) fixed-parameter tractable? Briefly explain. 
","(a) For each n
k subsets of k projects, check whether any employee is required
by more than one project. This can be done simply by going each of the k projects p,
marking the employees in Ep as needed, and if any employee is marked twice, then
this subset fails. Output “yes” if any subset of k project can be completed, and “no”
otherwise.
 The time complexity is n
k ·m because there are n
k subsets of size k and we pay O(m)
time per subset (because all but one employee will be marked only once). Asymptotically, this is (n/k)km.

(b) No. An FPT algorithms requires a time complexity of nO(1)f(k). By contrast, in our running time, the exponent on n increases with k. ",10 points maximum.,0.85,"(a)	Given a set P of n projects and a set E of m employees, we can use a straightforward algorithm to check whether we can assign the employees to projects such that we can complete (at least) k projects. The algorithm is as follows:

1.	For each project p ∈ P, find the subset Ep ⊆ E of employees that must be assigned to p to complete p.
2.	For each project p ∈ P, check if there is a subset of employees in Ep that can complete p.
3.	If there are at least k projects that can be completed, return true. Otherwise, return false.

The time complexity of this algorithm is O(n + m + k), where n is the number of projects, m is the number of employees, and k is the number of projects that must be completed.

(b)	The algorithm in part (a) is not fixed-parameter tractable because the time complexity is not polynomial in the size of the input and the parameter k. The time complexity is O(n + m + k), which is not polynomial in the size of the input and the parameter k.

Provide a clear and concise answer:

(a)	Given a set P of n projects and a set E of m employees, we can use a straightforward algorithm to check whether we can assign the employees to projects such that we can complete (at least) k projects. The algorithm is as follows:

1.	For each project p ∈ P, find the subset Ep ⊆ E of employees that must be assigned to p to complete p.
2.	For each project p ∈ P, check if there is a subset of employees in Ep that can complete p.
3.	If there are at least k projects that can be completed, return true. Otherwise, return false.

The time complexity of this algorithm is O(n + m + k), where n is the number of projects, m is the number of employees, and k is the number of projects that must be completed.

(b)	The algorithm in part (a) is not fixed-parameter tractable because the time complexity is not polynomial in the size of the input and the parameter k. The time complexity is O(n + m + k), which is not polynomial in the size of the input and the parameter k.",0.3
753,SWE,Medium,"You are working on an enterprise software system written in Java. Your system
communicates with other systems at your company via an API that passes POJOs (Plain Old
Java Objects, which have no methods besides getters and setters for their fields) to the other
systems. One of your coworkers, Taylor, who is responsible for one of these other systems asks
you to implement a method on one of these POJOs that has some real functionality. Another
coworker, Blake, proposes implementing the functionality as a static method in a separate
utility class. Which implementation strategy would you choose, and why?
Complete the memo below.
Dear Taylor and Blake,
I think we should implement the feature
Circle one: as a member method / as a static method in a utility class
because","Dear Taylor and Blake,
I think we should implement the feature
as a static method in a utility class
because
we don’t want to change the whole architecture of how systems commu_x0002_nicate at your company. It’s better to work within the current design
to achieve this functionality, and to keep all systems consistent with the
current conventions.",1-2 sentences,0.6,"1. Explain why you chose the implementation strategy you did.
2. Explain why you did not choose the other implementation strategy.
3. Explain why you think the other implementation strategy is not a good idea.

Your memo should be 1-2 pages in length.

### ""Get 15% discount on your first 3 orders with us"" Use the following coupon FIRST15

Order Now",0.3
754,SWE,Medium,"Your coworker, Casey, has discovered a bug in the open-source FancySoft project
that you’ve been using as part of your system. Casey suggests sending the following report to
the maintainers of FancySoft:
We’re having trouble with FancySoft. We ran it with -a foo, and it crashed. This
is really blocking us, which is super annoying. Pls help.
You don’t think you should send this bug report as-is. Complete the following email to your
coworker which describes the four most important distinct mistakes that your coworker has
made. (One sentence each.)
Dear Casey,
This bug report is a good start. Here are the four most important distinct things
you could improve","Dear Casey,
This bug report is a good start. Here are the four most important distinct things
you could improve:
(a) Describe your goal. What were you trying to achieve?
(b) Give enough information for reproducibility: the complete command
line, input files, the version of FancySoft, and any other relevant
environmental information. Just “-a foo” isn’t enough.
(c) Describe exactly what went wrong. What is the full output? Can
you attach the core dump file?
(d) Say what you have tried so far to understand or solve the problem.
(e) Tone is both informal and condescending — you’re asking them to
do something for you. Be nice about it.
(f) The language is not professional, such as use of “Pls”. This is a
problem and should be corrected, but it is not one of the most im_x0002_portant things wrong with the bug report.
Keep up the good work!",1 sentence each,0.85,"1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:

1. The bug report should be clear and concise.
2. The bug report should be clear and concise.
3. The bug report should be clear and concise.
4. The bug report should be clear and concise.

Provide a clear and concise answer:",0.0
755,SWE,Easy,"Give three reasons it is more expensive to fix a bug that a customer encounters in
production than a bug that a developer discovers during development.","the developer has code paged in
• don’t build on a faulty foundation, which can cause redesign/reimplementation
of code built on the buggy code
• reputation: bad will from customers
• redeploying to customers costs money
• partial credit: harder to reproduce","Question: Give three reasons it is more expensive to fix a bug that a customer encounters in
production than a bug that a developer discovers during development.

Provide a clear and concise answer:",0.65,"Answer:

1. The bug is more likely to be in a more complex part of the code, which is harder to understand and fix.
2. The bug is more likely to have been introduced by a change that has already been deployed to production, which means that the fix may need to be deployed to production as well.
3. The bug is more likely to have been introduced by a change that has already been deployed to production, which means that the fix may need to be deployed to production as well.",0.4
756,SWE,Easy,"Usually, you should not commit generated files to a version control repository —
that is, those created by its build system. (Two reasons are that the file can be regenerated in
each clone, and generated files can contain conflicts that people cannot resolve.)
Give two reasons to commit generated files to a version control repository. Give a specific
goal or purpose","• You are using a non-hermetic tool that produces different binaries or other
generated files, and you want all members of your team to use identical
artifacts.
• The build process takes a very long time to run. (Say, hours to weeks.)
• The build tools are not available on some systems, or team members don’t
want to have to install them.
• You are deploying (say, populating a website) directly from your version
control repository, such as from the gh-pages branch of a GitHub repository",1-2 sentences.,0.4,"- Answer should be at least 100 words.
- Answer should be in your own words (not copied from the Internet).
- Answer should be clear, well written, and organized. Use complete sentences. Use
punctuation, spelling, and grammar correctly.
- Answer should not contain spelling, punctuation, or grammar mistakes.
- Answer should not contain plagiarized content.
- Answer should not contain content from other students.
- Answer should not contain content from the Internet.
- Answer should not contain content from the textbook.
- Answer should not contain content from the course notes.
- Answer should not contain content from the course slides.
- Answer should not contain content from the course videos.
- Answer should not contain content from the course labs.
- Answer should not contain content from the course assignments.
- Answer should not contain content from the course quizzes.
- Answer should not contain content from the course exams.
- Answer should not contain content from the course projects.
- Answer should not contain content from the course discussions.
- Answer should not contain content from the course forums.
- Answer should not contain content from the course chats.
- Answer should not contain content from the course blogs.
- Answer should not contain content from the course wikis.
- Answer should not contain content from the course glossaries.
- Answer should not contain content from the course dictionaries.
- Answer should not contain content from the course thesauri.
- Answer should not contain content from the course encyclopedias.
- Answer should not contain content from the course directories.
- Answer should not contain content from the course files.
- Answer should not contain content from the course databases.
- Answer should not contain content from the course knowledge bases.
- Answer should not contain content from the course repositories.
- Answer should not contain content from the course archives.
- Answer should not contain content from the course libraries.
- Answer should not contain content from the course collections.
- Answer should not contain content from the course archives.
- Answer should not contain content from the course archives.
- Answer should not contain content from the course archives.
- Answer should not contain content from the course archives.
- Answer should not contain content from the course archives",0.0
757,SWE,Medium,"Your boss asks you to implement two unrelated features in your code. After
implementing the first feature, you test your code and discover a bug. You realize that this is
a deep bug and it might take an uncertain amount of time to fix. On the other hand, you are
sure that implementing the second feature is straightforward.
Explain why it is usually a better idea to fix the bug first.","Bugs in feature 1 may mask bugs in feature 2: if tests fail, you don’t know whether
it is due to a problem in the code for feature 1 or for feature 2. Feature 1 is still
fresh in your mind. Introducing another feature might change the behavior of the
bug or introduce more bugs (this is unlikely, but possible, given that the features
are unrelated).
Some common correct but not best answers:
• It is costlier to fix the bug later than earlier.
• It is better to prioritize uncertain tasks first.
• The bug is fresh in the developer’s mind and therefore easier to fix.
• If the bug is not fixed now, developer might forget about the bug or lose
context",1-2 paragraphs.,0.85,"Answer:

It is usually a better idea to fix the bug first because it is more important to ensure the
correctness of the code than to add new features. Fixing the bug first ensures that the code is
working as intended and that any new features added later will be built on a solid foundation.
Additionally, fixing the bug first can prevent future issues from arising and save time and
resources in the long run.",0.65
758,SWE,Easy,"Frequently, the number of components in a project’s architecture diagram is the
same as the number of members of the team, and each member is responsible for one part.
Give a reason that this may be a good choice. Give a reason that this may be a bad choice.","• Clear division of tasks and responsibilities
• Sense of ownership encourages good work

• It’s harder to get feedback or help from others (including code review) if you are working on
your own.
• The bus number is 1.
• This may not distribute work fairly, or to people who are good at the specific work (eg, 2 UI
designers should work together on the UI rather than one being assigned to the back end).",100 words or less.,0.65,"Answer:

A good reason for this is that it is easier to manage the project and the team members can be held accountable for their part of the project.

A bad reason for this is that it can lead to a lack of communication and collaboration between team members, which can result in a less cohesive and effective project.",0.8
